sentence	sentence_id	locale	reason
"Eu precisava me concentrar mais"? chorou Jasper.	c29d3b39eff23dfc67288541bdc0f11bd6f4d79416e63150ff2ee6b1a504570a	pt	grammar-or-spelling
Um grupo de cinco crianças do sexo feminino razão ao ar livre.	c1699ea2ad00d10b2aa441653bbc77ea4e2867d9cb2bb5feed873ba0ca311232	pt	grammar-or-spelling
Três cães? um segurando um Frisbee vermelho? em pé na neve.	a71dd639ca55628c5549c8bc7f5a9aa66647a9970573f12a9a35b3e8e311ce13	pt	grammar-or-spelling
"Esse foi o meu destino? não seu?" respondeu o alquimista.	c99b4d464a1eaa1fa54592e4229a785190606f3a0528a566cd1a24007aa8984f	pt	grammar-or-spelling
É comum encontrar problemas?, então leia atentamente as instruções.	bf7064e8364fc046d072b2d2dd025b81305f73141d723b20a0426ca069586fbd	pt	grammar-or-spelling
"Tudo o que vi foi um exército?" disse o menino.	c098148b63210df54b13643995e86b3737906f36aa2f3dc18bf0ef75ff1d31fa	pt	grammar-or-spelling
"Tudo o que vi foi um exército?" disse o menino.	c098148b63210df54b13643995e86b3737906f36aa2f3dc18bf0ef75ff1d31fa	pt	interrogações no texto fora do lugar e contexto.
Você não sabe que há uma guerra em?	d6d104c0d23d7536166cab7b2a85463cbc0fc5dde97fb3f22f1ca3a6f7e40069	pt	grammar-or-spelling
Yan Shuilong nasceu em Tainan	d44b18299daf7a5ed8f7c4d3c125e7dceff970e4d7d4b00091a34e14e7ec6d3f	pt	different-language
Eu nunca vi um Rothschild antes.	b5c21f064ee3c5e48618630e338010e93165f6519af5373c5a8c412311c76e04	pt	different-language
Eles usaram o relu como uma função de ativação para esse problema.	d7ab76807c9257ab8af899ccead5c056b39b8ca1359e0b5526792c26ddf16512	pt	grammar-or-spelling
Grupo de pessoas pegar algo que está pegando fogo.	c79f7a3dde9fdf9bfd471ade2af52387f88fd9fd76c32659c37211c557aa8a8a	pt	grammar-or-spelling
Ele costumava levantar kettlebells agora ele respira fogo.	cf07e87b416477f38619771404c4c6998ea54a868d24821f0cdd89a3c49dbe17	pt	different-language
Eu nunca vi um Rothschild antes.	b5c21f064ee3c5e48618630e338010e93165f6519af5373c5a8c412311c76e04	pt	different-language
Yan Shuilong nasceu em Tainan	d44b18299daf7a5ed8f7c4d3c125e7dceff970e4d7d4b00091a34e14e7ec6d3f	pt	different-language
Yan Shuilong nasceu em Tainan	d44b18299daf7a5ed8f7c4d3c125e7dceff970e4d7d4b00091a34e14e7ec6d3f	pt	different-language
Yan Shuilong nasceu em Tainan	d44b18299daf7a5ed8f7c4d3c125e7dceff970e4d7d4b00091a34e14e7ec6d3f	pt	different-language
Reserva de livros para minhas sobrinhas e eu no Light Horse Tavern	c527b8c4ba1b0aba8c24729a5eddcca167d7144966691a57abcf2a1d937ef561	pt	different-language
Ele costumava levantar kettlebells agora ele respira fogo.	cf07e87b416477f38619771404c4c6998ea54a868d24821f0cdd89a3c49dbe17	pt	different-language
Yan Shuilong nasceu em Tainan	d44b18299daf7a5ed8f7c4d3c125e7dceff970e4d7d4b00091a34e14e7ec6d3f	pt	difficult-pronounce
Reserva de livros para minhas sobrinhas e eu no Light Horse Tavern	c527b8c4ba1b0aba8c24729a5eddcca167d7144966691a57abcf2a1d937ef561	pt	different-language
Você não sabe que há uma guerra em?	d6d104c0d23d7536166cab7b2a85463cbc0fc5dde97fb3f22f1ca3a6f7e40069	pt	grammar-or-spelling
Para começar com?, você desejará decidir entre o Firefox e o Chrome.	d7b271278366d62251e477219510a6f50069943a82337d9ae1d7511031fcb581	pt	grammar-or-spelling
Para começar com?, você desejará decidir entre o Firefox e o Chrome.	d7b271278366d62251e477219510a6f50069943a82337d9ae1d7511031fcb581	pt	grammar-or-spelling
Reserva de livros para minhas sobrinhas e eu no Light Horse Tavern	c527b8c4ba1b0aba8c24729a5eddcca167d7144966691a57abcf2a1d937ef561	pt	different-language
O que você entedeu sobre o texto?	d66b6bdfe8fd41f59894672e9f05e3c3f00dd5b3515375a67ea9486b6b5bda67	pt	grammar-or-spelling
Yan Shuilong nasceu em Tainan	d44b18299daf7a5ed8f7c4d3c125e7dceff970e4d7d4b00091a34e14e7ec6d3f	pt	different-language
Para começar com?, você desejará decidir entre o Firefox e o Chrome.	d7b271278366d62251e477219510a6f50069943a82337d9ae1d7511031fcb581	pt	grammar-or-spelling
Qual é o tempo próximo setembro na localização atual?	deac6b08a7797f59735195d4807e97a149ca5b7efede6ea562b31284ecaf8bd2	pt	grammar-or-spelling
Um homem toca um violino enquanto sorrindo.	d438fd6344fc2e19c9cdbd57dcdfefb0eff46666d43948e54162f996e3aff964	pt	grammar-or-spelling
Informação actualizada e em directo.	de7c2e4231ffce19f8ed95e01e6c2a57f1a335cf6a6be6bb6bd810e4adcd692f	pt	different-language
Saiba o que meu pai fez quando me juntei a?	d57de10459b6e42d8f59b392884d7c8ad5988aa41030df7c1c1b3ba82b493eb2	pt	grammar-or-spelling
Eu nunca vi um Rothschild antes.	b5c21f064ee3c5e48618630e338010e93165f6519af5373c5a8c412311c76e04	pt	different-language
Eu tive o "todo mundo tem dentes de Gary Busey" sonho novamente.	e418ef764f3a3fb519a8f8ae95b4949581985c7ac6b919d72dc8daadb226e119	pt	grammar-or-spelling
Eu tive o "todo mundo tem dentes de Gary Busey" sonho novamente.	e418ef764f3a3fb519a8f8ae95b4949581985c7ac6b919d72dc8daadb226e119	pt	different-language
Consultar calendário para esta final de semana.	c587b58374a9a0038de07749a13236fa68579f57807d2e2082339dd9b0aadfcd	pt	grammar-or-spelling
Consultar calendário para esta final de semana.	c587b58374a9a0038de07749a13236fa68579f57807d2e2082339dd9b0aadfcd	pt	grammar-or-spelling
Reserva de livros para minhas sobrinhas e eu no Light Horse Tavern	c527b8c4ba1b0aba8c24729a5eddcca167d7144966691a57abcf2a1d937ef561	pt	different-language
Consultar calendário para esta final de semana.	c587b58374a9a0038de07749a13236fa68579f57807d2e2082339dd9b0aadfcd	pt	grammar-or-spelling
Você não sabe que há uma guerra em?	d6d104c0d23d7536166cab7b2a85463cbc0fc5dde97fb3f22f1ca3a6f7e40069	pt	grammar-or-spelling
Consultar calendário para esta final de semana.	c587b58374a9a0038de07749a13236fa68579f57807d2e2082339dd9b0aadfcd	pt	grammar-or-spelling
Um homem com uma lata passa por uma pintura de uma cena de construção.	f2fe3b6da2baaf167dda47166cee80a166c3ea8cca1f1adb4df870f65636a0cc	pt	grammar-or-spelling
O diodos estava em curto	f5285b127e052a32d31798b6574683c57d12414ca9d3b883296cdd6433148756	pt	grammar-or-spelling
Taoyuan Hsinchu e Yilan Holidays são divertidos	efb5e32d2df75b68cf1ca3625cca7826aa617b1a4f7afb3579c4ed9553ca1899	pt	different-language
Consultar calendário para esta final de semana.	c587b58374a9a0038de07749a13236fa68579f57807d2e2082339dd9b0aadfcd	pt	grammar-or-spelling
minhas ferias foram ótimas penas que você não foi	e4e5bd488520c31c1d0b8e80ecd96ec233dbfede2183e38da219aab7d3d44063	pt	grammar-or-spelling
Yan Shuilong nasceu em Tainan	d44b18299daf7a5ed8f7c4d3c125e7dceff970e4d7d4b00091a34e14e7ec6d3f	pt	grammar-or-spelling
Yan Shuilong nasceu em Tainan	d44b18299daf7a5ed8f7c4d3c125e7dceff970e4d7d4b00091a34e14e7ec6d3f	pt	different-language
Boa noita para vocês.	f929655d45a7fe9eb6bf6a252d571642bd733daaf333a84d3165baca36dd2d56	pt	grammar-or-spelling
Comer curry scones	f65b03e292fa1c4a56c0840b045206624df9155c2c2788222aed7a61f370e252	pt	different-language
Você vai sair e me deixe lidar com isso?	f8f714978eaa94763c3d2a3399d9c4f2551b5ce9b1bb87adfd0de851d50ab759	pt	grammar-or-spelling
O diodos estava em curto	f5285b127e052a32d31798b6574683c57d12414ca9d3b883296cdd6433148756	pt	grammar-or-spelling
Reserva de livros para minhas sobrinhas e eu no Light Horse Tavern	c527b8c4ba1b0aba8c24729a5eddcca167d7144966691a57abcf2a1d937ef561	pt	grammar-or-spelling
Boa noita para vocês.	f929655d45a7fe9eb6bf6a252d571642bd733daaf333a84d3165baca36dd2d56	pt	grammar-or-spelling
Saiba o que meu pai fez quando me juntei a?	d57de10459b6e42d8f59b392884d7c8ad5988aa41030df7c1c1b3ba82b493eb2	pt	grammar-or-spelling
O diodos estava em curto	f5285b127e052a32d31798b6574683c57d12414ca9d3b883296cdd6433148756	pt	grammar-or-spelling
Você não sabe que há uma guerra em?	d6d104c0d23d7536166cab7b2a85463cbc0fc5dde97fb3f22f1ca3a6f7e40069	pt	grammar-or-spelling
Você não sabe que há uma guerra em?	d6d104c0d23d7536166cab7b2a85463cbc0fc5dde97fb3f22f1ca3a6f7e40069	pt	grammar-or-spelling
Taoyuan Hsinchu e Yilan Holidays são divertidos	efb5e32d2df75b68cf1ca3625cca7826aa617b1a4f7afb3579c4ed9553ca1899	pt	different-language
Vídeos react trailer de Os Vingadores.	f5d64cb74e8d366f88430a10e10072f21a01a0aa601465b334c0e65cd09fe4c9	pt	different-language
Boa noita para vocês.	f929655d45a7fe9eb6bf6a252d571642bd733daaf333a84d3165baca36dd2d56	pt	grammar-or-spelling
Você sabe todos os presidentes to Estados Unidos?	1a938ffa3eded2764fa1653497c7ba2da35d1923273972f492d3b9a39badf7c0	pt	grammar-or-spelling
Boa noita para vocês.	f929655d45a7fe9eb6bf6a252d571642bd733daaf333a84d3165baca36dd2d56	pt	grammar-or-spelling
Eu não cheguei até as sessenta	024259666944a202e9a4bb1ee545fb2ec4a9bb460dc50680883bcab9d67bedc9	pt	grammar-or-spelling
"Não deixe que eles vejam que você está com medo de?", disse o alquimista.	101cbbc8700a1a4b0e72a704b359876be4e142b64bc1ff3821830bd8a100edd6	pt	grammar-or-spelling
Tiveram de chamar os bombeiros para apaguar o incêndio	fb1e0b08464c9e1d21ae1a9ec3d73b5cfcd014c08ecd2f616f50c4f599604335	pt	grammar-or-spelling
Posso ouvir o mais novo canto de Jeremy Taggart no Deezer?	0da16ec0ea2946277a4eccc5dc29313b1d3d665a68cf1569594001a165b831c1	pt	different-language
"Talvez este seja um presságio de?" disse o inglês? meio em voz alta.	08b7ed2bdeb250754172714398f2b7ac07de002307a874b0e1467db8abe38022	pt	grammar-or-spelling
James Madison e James Monroe foram presidentes do Estados Unidos.	406600d599e269c6544374e7d7db76ded246e30931cac556f53b17cd833aa382	pt	grammar-or-spelling
Quais são as característivas dessa pintura.	2ad30970d733cc766be43cb15243eef095fa01089e9385f6ecdc4c3c8bf7ad46	pt	grammar-or-spelling
o que significa peido do diabo em francês	1c52f71a1f1bebcd027c3d6c8c6a4013b283e57d47896450b00299f82a696480	pt	offensive-language
Quanto tempo desde que nos vimos?	55fbe2267729273eafa059cdedcf09a2eb67c6f097ae8f0244442af8ad3c936d	pt	grammar-or-spelling
Você sabe todos os presidentes to Estados Unidos?	1a938ffa3eded2764fa1653497c7ba2da35d1923273972f492d3b9a39badf7c0	pt	grammar-or-spelling
Voçê irá saber no próximo ano.	22d0b5b7789790538a8786c151b170af9c9e42138834fc2ddc26532bbb8bdb9c	pt	grammar-or-spelling
Você sabe todos os presidentes to Estados Unidos?	1a938ffa3eded2764fa1653497c7ba2da35d1923273972f492d3b9a39badf7c0	pt	grammar-or-spelling
O simum explodiu naquele dia como nunca havia explodido antes.	16e72906e5c91cd2214469a3060bea47bdf27c364a90f8dfd98c0b5d7dc468b1	pt	grammar-or-spelling
minhas ferias foram ótimas penas que você não foi	e4e5bd488520c31c1d0b8e80ecd96ec233dbfede2183e38da219aab7d3d44063	pt	grammar-or-spelling
Voçê irá saber no próximo ano.	22d0b5b7789790538a8786c151b170af9c9e42138834fc2ddc26532bbb8bdb9c	pt	grammar-or-spelling
Voçê irá saber no próximo ano.	22d0b5b7789790538a8786c151b170af9c9e42138834fc2ddc26532bbb8bdb9c	pt	grammar-or-spelling
Uma seção da estrada de Zhongzheng, distrito de Danshui, cidade nova de Taipei	0994224651f45bc44e31444eb41672b115b2ce1c37d08ac94ee66a9295a8bdab	pt	different-language
Me dê a lista de filmes no Santikos Theatres	1849f2b3061e03d729ad24ce7d209e5a79845afd9b26872efdcbaf3beb6d9c47	pt	grammar-or-spelling
Me dê a lista de filmes no Santikos Theatres	1849f2b3061e03d729ad24ce7d209e5a79845afd9b26872efdcbaf3beb6d9c47	pt	different-language
Me dê a lista de filmes no Santikos Theatres	1849f2b3061e03d729ad24ce7d209e5a79845afd9b26872efdcbaf3beb6d9c47	pt	grammar-or-spelling
Me dê a lista de filmes no Santikos Theatres	1849f2b3061e03d729ad24ce7d209e5a79845afd9b26872efdcbaf3beb6d9c47	pt	different-language
Uma seção da estrada de Zhongzheng, distrito de Danshui, cidade nova de Taipei	0994224651f45bc44e31444eb41672b115b2ce1c37d08ac94ee66a9295a8bdab	pt	different-language
Lápis abaixo do tempo de? acabou.	28c9a9e4dead3a588a26c5b7af4eaa792c6ba9cf4f4804aa1272bbaea7e408f3	pt	grammar-or-spelling
Uma seção da estrada de Zhongzheng, distrito de Danshui, cidade nova de Taipei	0994224651f45bc44e31444eb41672b115b2ce1c37d08ac94ee66a9295a8bdab	pt	different-language
North City está servindo a Taipei Youth Career Development Center	07594a45505f0814d5efa733e11f1157df48c65762b2eb90d30157255f3e910a	pt	different-language
minhas ferias foram ótimas penas que você não foi	e4e5bd488520c31c1d0b8e80ecd96ec233dbfede2183e38da219aab7d3d44063	pt	grammar-or-spelling
Eu quero ouvir Merry Go Round por Gary Nichols do Groove Shark por favor.	1980fce313b1a1ec4a9f80609a3416fbd8336ac5b0250d741d82c207f8789f23	pt	different-language
minhas ferias foram ótimas penas que você não foi	e4e5bd488520c31c1d0b8e80ecd96ec233dbfede2183e38da219aab7d3d44063	pt	grammar-or-spelling
April abraçou seu cordeiro.	311b60a8eb68bd0a9950e18788c8b0158c82eed02f31c9fd0f4cef1e14885756	pt	grammar-or-spelling
Eu quero ouvir Merry Go Round por Gary Nichols do Groove Shark por favor.	1980fce313b1a1ec4a9f80609a3416fbd8336ac5b0250d741d82c207f8789f23	pt	different-language
April abraçou seu cordeiro.	311b60a8eb68bd0a9950e18788c8b0158c82eed02f31c9fd0f4cef1e14885756	pt	different-language
Uma seção da estrada de Zhongzheng, distrito de Danshui, cidade nova de Taipei	0994224651f45bc44e31444eb41672b115b2ce1c37d08ac94ee66a9295a8bdab	pt	different-language
Diga-me a casa de cinema mais próxima que joga Black Rage	3e54aa5f920e70b1e2b942c8e27c11b34728e89da7bb91d44613aba4b92f4971	pt	different-language
minhas ferias foram ótimas penas que você não foi	e4e5bd488520c31c1d0b8e80ecd96ec233dbfede2183e38da219aab7d3d44063	pt	grammar-or-spelling
Lápis abaixo do tempo de? acabou.	28c9a9e4dead3a588a26c5b7af4eaa792c6ba9cf4f4804aa1272bbaea7e408f3	pt	grammar-or-spelling
Demorou muito trabalho.	487100a4532363d142a1e270cf64db74f291b4d638044c7a18f32553b2a59042	pt	grammar-or-spelling
Ele dorme de dez horas.	410405477dccb9323697112dc8ac6e94f7ca0a549ef934fd0f186a58fbfe1735	pt	grammar-or-spelling
Quatro hora da manhã e nenhum sinal dela.	406c9e717f5b87e05d608461db4460ab35aaddcbb25ad7e2f0591a0ce1e9bbd1	pt	grammar-or-spelling
Quatro hora da manhã e nenhum sinal dela.	406c9e717f5b87e05d608461db4460ab35aaddcbb25ad7e2f0591a0ce1e9bbd1	pt	grammar-or-spelling
É chuvoso em Greely Center?	42340b74a6d80ced16fe0c35f364d60c22fc936016146e1b7c3cccc66b4a5025	pt	different-language
Me dê a lista de filmes no Santikos Theatres	1849f2b3061e03d729ad24ce7d209e5a79845afd9b26872efdcbaf3beb6d9c47	pt	grammar-or-spelling
adicione Black Yankee Rock interpretado por Pop Punk's Not Dead na minha playlist	3364cd7ee331b77a927ed832741efce2f71a6ace016d346c483641f91ce8394b	pt	grammar-or-spelling
adicione Black Yankee Rock interpretado por Pop Punk's Not Dead na minha playlist	3364cd7ee331b77a927ed832741efce2f71a6ace016d346c483641f91ce8394b	pt	different-language
Como Peter Lovelace conseguiu essa arma?	1677eb7f6f7db119f42f6652bba3493c894939ea0c259a4799be5cb25f0765de	pt	grammar-or-spelling
Temo que seja o Steve Tina.	4afcb589fb2fd5feef804449aae1b7cf6bec75561000d82eebf91e1aa1bd272e	pt	grammar-or-spelling
Temo que seja o Steve Tina.	4afcb589fb2fd5feef804449aae1b7cf6bec75561000d82eebf91e1aa1bd272e	pt	different-language
Uma seção da estrada de Zhongzheng, distrito de Danshui, cidade nova de Taipei	0994224651f45bc44e31444eb41672b115b2ce1c37d08ac94ee66a9295a8bdab	pt	different-language
Eu quero ver o Michel Strogoff	22fde0799bce033f329158bd1ee537ec2a95db51a09fd4ecc5634ef4c0521dc2	pt	different-language
Eu tenho uma casa em Luzhou.	52cc3e6f1e693d7b249227e5d56b9a67edf36052b8d4f458bb40067d249c0650	pt	different-language
Todas as coisas são uma? o menino pensou.	53f6604b8522ade889fff02dcd81860b388061bd72e740ef873327b9e6abdf88	pt	grammar-or-spelling
Lápis abaixo do tempo de? acabou.	28c9a9e4dead3a588a26c5b7af4eaa792c6ba9cf4f4804aa1272bbaea7e408f3	pt	grammar-or-spelling
Queremos vender botas artesanais de chukka naquele caminhão de comida.	36eb03325c4fc961bab15fdb0552b1b8cd591ff03f84548c4b87a51515522d78	pt	grammar-or-spelling
dois cães preto e brancos brigando uns com os outros	30f902f7c6e2ecab5e65743f0aa833a112aeafc708bdc0ba842d19b6494e13bb	pt	grammar-or-spelling
Adicionar villotta à lista de reprodução The MetalSucks Playlist	9694b3ee3d2b353e7b074a8667fd44251f5c91387b33737ffd81b7473077666d	pt	grammar-or-spelling
Adicionar villotta à lista de reprodução The MetalSucks Playlist	9694b3ee3d2b353e7b074a8667fd44251f5c91387b33737ffd81b7473077666d	pt	different-language
adicione Black Yankee Rock interpretado por Pop Punk's Not Dead na minha playlist	3364cd7ee331b77a927ed832741efce2f71a6ace016d346c483641f91ce8394b	pt	different-language
Lápis abaixo do tempo de? acabou.	28c9a9e4dead3a588a26c5b7af4eaa792c6ba9cf4f4804aa1272bbaea7e408f3	pt	grammar-or-spelling
adicione o Yamataka Eye à minha sofisticada lista de reprodução de jantar	5b3a441fd8d0a5e7b24abac3dcd4b65945a4e0d2f899731e4b8fb86d06fc6cba	pt	grammar-or-spelling
adicione o Yamataka Eye à minha sofisticada lista de reprodução de jantar	5b3a441fd8d0a5e7b24abac3dcd4b65945a4e0d2f899731e4b8fb86d06fc6cba	pt	different-language
Adicionar Amanhã é um longo tempo para minha playlist Sueños	41bf18f84da18ae803bdc1b32be1a85e32db82e9b56518d9e104d04df72bcc72	pt	different-language
Adicionar Amanhã é um longo tempo para minha playlist Sueños	41bf18f84da18ae803bdc1b32be1a85e32db82e9b56518d9e104d04df72bcc72	pt	grammar-or-spelling
Por favor, procure a fotografia? The New People.	17e18f8c6759fb948e4989f1538933f550fd1ae3c491cc9feb438e923cbda0c9	pt	different-language
adicionar erik santos na minha lista de reprodução Metal Xplorer	0823c398c7194fd882a739fac4d0cce82e56a7f561b089a9d8b28544b1632ddc	pt	different-language
adicionar Chris de Burgh na minha playlist melancholia	872d5ca3b44e0bbc37ab3f8f270ec4c60da060007430218cd59cfc20b322e2a7	pt	different-language
Adicionar Amanhã é um longo tempo para minha playlist Sueños	41bf18f84da18ae803bdc1b32be1a85e32db82e9b56518d9e104d04df72bcc72	pt	different-language
Você esquece o poder que sempre vigia o Morning Post.	ed656291b171ea19c5aae5edb26a11701eeac4f71911f843f5426ab914d25619	pt	grammar-or-spelling
Você esquece o poder que sempre vigia o Morning Post.	ed656291b171ea19c5aae5edb26a11701eeac4f71911f843f5426ab914d25619	pt	different-language
Adicione Chad Hugo à minha lista de reprodução This Is Kendrick Lamar.	0da5fe090987c8ac20e3cfe115311f639c0c26fe391bc3bb546b80d49b4ef928	pt	different-language
o Planetário Calouste Gulbenkian está aberto.	20e6c3f6eb44ae8b19451d90fc5a2bd1e8d1828158bc49747aa530216226e776	pt	grammar-or-spelling
o Planetário Calouste Gulbenkian está aberto.	20e6c3f6eb44ae8b19451d90fc5a2bd1e8d1828158bc49747aa530216226e776	pt	different-language
Posso ouvir o mais novo canto de Jeremy Taggart no Deezer?	0da16ec0ea2946277a4eccc5dc29313b1d3d665a68cf1569594001a165b831c1	pt	different-language
