Word Error Rate,Gestalt Pattern Matching,Longest Common Subsequence
1,"0,5","0,5"
"0,25","0,9210526316","0,9210526316"
"0,25","0,9583333333","0,9583333333"
"0,2222222222","0,9523809524","0,9523809524"
"0,2","0,8636363636","0,8636363636"
"0,4166666667","0,9074074074","0,9074074074"
"0,25","0,962962963","0,962962963"
"0,09090909091","0,9693877551","0,9693877551"
"0,3333333333","0,7741935484","0,7741935484"
0,1,1
"0,2222222222","0,9130434783","0,9333333333"
1,"0,375","0,375"
2,"0,4736842105","0,4736842105"
"0,125","0,9","0,9"
1,"0,5","0,5"
0,1,1
0,1,1
0,1,1
"0,3333333333","0,9375","0,9375"
"0,2857142857","0,9393939394","0,9393939394"
0,1,1
"0,2","0,9534883721","0,9534883721"
0,1,1
0,1,1
"0,09090909091","0,9078947368","0,9078947368"
0,1,1
"0,1111111111","0,9787234043","0,9787234043"
1,"0,4444444444","0,4444444444"
0,1,1
0,1,1
1,"0,8333333333","0,8333333333"
"0,3333333333","0,9565217391","0,9565217391"
"0,5","0,9230769231","0,9230769231"
0,1,1
0,1,1
"0,2857142857","0,9622641509","0,9622641509"
0,1,1
0,1,1
"0,1666666667","0,9655172414","0,9655172414"
"0,07142857143","0,9868421053","0,9868421053"
"0,7142857143","0,7777777778","0,7777777778"
0,1,1
0,1,1
0,1,1
"0,2222222222","0,9636363636","0,9636363636"
"0,08333333333","0,9787234043","0,9787234043"
"0,1428571429","0,9722222222","0,9722222222"
"0,3333333333","0,9142857143","0,9142857143"
"0,6666666667","0,9696969697","0,9696969697"
0,1,1
"0,3333333333","0,9047619048","0,9047619048"
0,1,1
0,1,1
"0,2307692308","0,956043956","0,956043956"
inf,0,0
"0,3333333333","0,6666666667","0,6666666667"
"0,25","0,7872340426","0,7872340426"
"0,5","0,8","0,8"
"0,1818181818","0,9253731343","0,9253731343"
1,"0,2857142857","0,2857142857"
1,"0,4166666667","0,4166666667"
"0,6666666667","0,6","0,6"
1,"0,8","0,8"
"0,2142857143","0,9534883721","0,9534883721"
1,"0,6666666667","0,8571428571"
"0,1818181818","0,9701492537","0,9701492537"
"0,25","0,9444444444","0,9444444444"
"0,6666666667","0,825","0,825"
2,"0,5185185185","0,5185185185"
"0,4","0,88","0,88"
0,1,1
0,1,1
0,1,1
0,1,1
0,1,1
0,1,1
0,1,1
"0,5","0,8469387755","0,902173913"
"0,2","0,8076923077","0,8076923077"
"0,25","0,96","0,96"
"0,6666666667","0,5833333333","0,5833333333"
0,1,1
"0,2142857143","0,9166666667","0,9166666667"
inf,0,0
"0,25","0,9230769231","0,9230769231"
0,1,1
"0,6666666667","0,7","0,7"
"0,1428571429","0,972972973","0,972972973"
"0,25","0,95","0,95"
"0,8333333333","0,7674418605","0,7674418605"
0,1,1
"0,125","0,8095238095","0,8095238095"
"0,25","0,9607843137","0,9607843137"
"0,1666666667","0,9677419355","0,9677419355"
0,1,1
"0,6666666667","0,85","0,85"
"0,4","0,875","0,875"
"0,1","0,9807692308","0,9807692308"
"0,3","0,7833333333","0,7833333333"
"0,2142857143","0,9516129032","0,9516129032"
0,1,1
0,1,1
2,"0,4444444444","0,4444444444"
"0,25","0,8947368421","0,8947368421"
0,1,1
"0,4","0,86","0,86"
0,1,1
"0,4","0,8409090909","0,8409090909"
"0,1428571429","0,9722222222","0,9722222222"
0,1,1
1,"0,3636363636","0,3636363636"
"0,1428571429","0,9827586207","0,9827586207"
"0,1666666667","0,9285714286","0,9285714286"
"0,3333333333","0,9310344828","0,9642857143"
"0,25","0,95","0,95"
"0,3076923077","0,8387096774","0,8387096774"
"0,1428571429","0,9761904762","0,9761904762"
"0,5","0,5185185185","0,5185185185"
"0,3","0,9259259259","0,9259259259"
"0,1666666667","0,976744186","0,976744186"
"0,1428571429","0,9696969697","0,9696969697"
"0,5","0,95","0,95"
0,1,1
0,1,1
"0,1428571429","0,9756097561","0,9756097561"
"0,4","0,9298245614","0,9298245614"
"0,3333333333","0,9285714286","0,9285714286"
"0,5","0,8846153846","0,92"
"0,1818181818","0,9642857143","0,9642857143"
"0,08333333333","0,9868421053","0,9868421053"
0,1,1
0,1,1
"0,125","0,9722222222","0,9722222222"
0,1,1
"0,2","0,96","0,96"
"0,1","0,9846153846","0,9846153846"
"0,3333333333","0,9285714286","0,9285714286"
0,1,1
0,1,1
"0,125","0,9833333333","0,9833333333"
0,1,1
0,1,1
"0,2666666667","0,9638554217","0,9638554217"
"0,2222222222","0,9583333333","0,9583333333"
0,1,1
"0,1666666667","0,9714285714","0,9714285714"
1,"0,8571428571","0,8571428571"
"0,09090909091","0,9818181818","0,9818181818"
"0,5","0,7777777778","0,7777777778"
"0,3333333333","0,9444444444","0,9444444444"
1,"0,8333333333","0,8333333333"
"0,5","0,8965517241","0,8965517241"
"0,125","0,9795918367","0,9795918367"
"0,3333333333","0,8333333333","0,8333333333"
"0,1111111111","0,9803921569","0,9803921569"
"0,1538461538","0,9677419355","0,9677419355"
"0,2","0,96","0,96"
"0,2","0,9565217391","0,9565217391"
0,1,1
0,1,1
"0,25","0,9761904762","0,9761904762"
"0,2307692308","0,9620253165","0,9620253165"
"0,25","0,9583333333","0,9583333333"
"0,1428571429","0,976744186","0,976744186"
"0,4","0,9411764706","0,9411764706"
0,1,1
"0,2142857143","0,950617284","0,950617284"
"0,3333333333","0,9411764706","0,9411764706"
"0,1666666667","0,96","0,96"
"0,25","0,9565217391","0,9565217391"
"0,2","0,9545454545","0,9545454545"
"0,25","0,9583333333","0,9583333333"
"0,1","0,9818181818","0,9818181818"
"0,1428571429","0,9714285714","0,9714285714"
"0,5","0,8367346939","0,8367346939"
"0,1428571429","0,9722222222","0,9722222222"
"0,1666666667","0,8604651163","0,8604651163"
"0,25","0,953125","0,953125"
"0,2","0,9642857143","0,9642857143"
"0,125","0,9743589744","0,9743589744"
"0,25","0,95","0,95"
"0,09090909091","0,9358974359","0,9605263158"
"0,2","0,9607843137","0,9607843137"
"0,1666666667","0,9696969697","0,9696969697"
"0,6","0,44","0,44"
0,1,1
"0,1428571429","0,9375","0,9615384615"
"0,3333333333","0,9545454545","0,9545454545"
"0,5454545455","0,8428571429","0,8428571429"
"0,1666666667","0,9565217391","0,9565217391"
"0,25","0,7368421053","0,7368421053"
"0,25","0,9583333333","0,9583333333"
"0,2857142857","0,696969697","0,696969697"
"0,1538461538","0,976744186","0,976744186"
"0,08333333333","0,9818181818","0,9818181818"
"0,25","0,95","0,95"
"0,1428571429","0,9756097561","0,9756097561"
"0,25","0,978021978","0,978021978"
"0,1111111111","0,9615384615",1
"0,2","0,9642857143","0,9642857143"
0,1,1
"0,1","0,9827586207","0,9827586207"
"0,1428571429","0,9743589744","0,9743589744"
"0,1428571429","0,9807692308","0,9807692308"
"0,1666666667","0,9701492537","0,9701492537"
"0,07692307692","0,9879518072","0,9879518072"
"0,25","0,9375","0,9375"
"0,6666666667","0,8536585366","0,8536585366"
"0,2","0,9722222222","0,9722222222"
"0,08333333333","0,9866666667","0,9866666667"
"0,5","0,7741935484","0,7741935484"
"0,2","0,962962963","0,962962963"
0,1,1
"0,4285714286","0,9047619048","0,9047619048"
"0,3333333333","0,9473684211","0,9473684211"
0,1,1
"0,1666666667","0,9473684211","0,9473684211"
"0,2","0,9722222222","0,9722222222"
"0,5714285714","0,7538461538","0,7538461538"
0,1,1
"0,1111111111","0,976744186","0,976744186"
"0,3333333333","0,8918918919","0,8918918919"
"0,1","0,9811320755","0,9811320755"
"0,5","0,82","0,82"
"0,1","0,9807692308","0,9807692308"
"0,5","0,9285714286","0,9285714286"
"0,1428571429","0,9761904762","0,9761904762"
"0,3333333333","0,9333333333","0,9333333333"
"0,09090909091","0,9787234043","0,9787234043"
0,1,1
"0,1","0,9824561404","0,9824561404"
"0,1111111111","0,9824561404","0,9824561404"
"0,1818181818","0,9574468085","0,9782608696"
"0,07692307692","0,9875","0,9875"
"0,2222222222","0,962962963","0,9811320755"
"0,5","0,8545454545","0,8545454545"
"0,1428571429","0,9722222222","0,9722222222"
"0,1818181818","0,9666666667","0,9666666667"
0,1,1
"0,5714285714","0,8125","0,8125"
"0,1538461538","0,9459459459","0,9459459459"
"0,1666666667","0,9605263158","0,9605263158"
0,1,1
0,1,1
"0,25","0,9636363636","0,9814814815"
"0,25","0,9545454545","0,9545454545"
"0,09090909091","0,9852941176","0,9852941176"
"0,1666666667","0,96","0,96"
"0,125","0,98","0,98"
0,1,1
"0,3","0,8958333333","0,914893617"
"0,25","0,8769230769","0,9047619048"
"0,1111111111","0,9672131148","0,9672131148"
0,1,1
"0,1818181818","0,9733333333","0,9733333333"
"0,125","0,9787234043","0,9787234043"
"0,25","0,9444444444","0,9444444444"
"0,1538461538","0,9777777778","0,9777777778"
"0,1818181818","0,9866666667","0,9866666667"
0,1,1
"0,1","0,9761904762","0,9761904762"
"0,2857142857","0,8863636364","0,8863636364"
"0,5","0,9285714286","0,9285714286"
"0,4","0,9615384615",1
"0,125","0,9787234043","0,9787234043"
"0,2857142857","0,9696969697","0,9696969697"
"0,09090909091","0,9838709677","0,9838709677"
"0,1818181818","0,9433962264","0,9433962264"
"0,1666666667","0,96","0,96"
"0,2857142857","0,935483871","0,935483871"
"0,5","0,9210526316","0,9210526316"
"0,1111111111","0,9777777778","0,9777777778"
"0,3333333333","0,9393939394","0,9393939394"
"0,2857142857","0,9574468085","0,9574468085"
"0,2222222222","0,96","0,96"
"0,1538461538","0,9365079365","0,9365079365"
"0,3333333333","0,9393939394","0,9393939394"
"0,1","0,9827586207","0,9827586207"
"0,25","0,9375","0,9375"
"0,8","0,8947368421","0,8947368421"
"0,09090909091","0,9850746269","0,9850746269"
"0,08333333333","0,9866666667","0,9866666667"
0,1,1
"0,1666666667","0,972972973","0,972972973"
"0,09090909091","0,9824561404","0,9824561404"
"0,3333333333","0,9014084507","0,9014084507"
"0,1","0,9827586207","0,9827586207"
"0,1111111111","0,9787234043","0,9787234043"
"0,1111111111","0,9807692308","0,9807692308"
"0,1666666667","0,9655172414","0,9655172414"
"0,2","0,9705882353","0,9705882353"
"0,4444444444","0,8695652174","0,8695652174"
"0,1428571429","0,9795918367","0,9795918367"
"0,08333333333","0,9838709677","0,9838709677"
"0,3333333333","0,9285714286","0,9285714286"
0,1,1
"0,3333333333","0,9487179487","0,9487179487"
"0,25","0,9032258065","0,9032258065"
"0,2","0,9642857143","0,9642857143"
0,1,1
"0,2857142857","0,9375","0,9375"
"0,1666666667","0,9761904762","0,9761904762"
"0,1428571429","0,96","0,96"
"0,3333333333","0,8695652174","0,8695652174"
0,1,1
"0,1818181818","0,9672131148","0,9672131148"
"0,3333333333","0,9666666667","0,9666666667"
"0,125","0,975","0,975"
"0,2","0,9736842105","0,9736842105"
"0,1428571429","0,9736842105","0,9736842105"
0,1,1
0,1,1
"0,3333333333","0,9523809524","0,9523809524"
"0,1666666667","0,9696969697","0,9696969697"
"0,3333333333","0,9459459459","0,9459459459"
"0,25","0,9523809524","0,9523809524"
"0,25","0,9333333333","0,9491525424"
"0,3333333333","0,8918918919","0,9166666667"
"0,2","0,962962963","0,962962963"
"0,2727272727","0,9436619718","0,9436619718"
"0,1818181818","0,9682539683","0,9682539683"
"0,125","0,9807692308",1
"0,1666666667","0,9761904762","0,9761904762"
"0,2","0,962962963","0,962962963"
"0,1111111111","0,9824561404","0,9824561404"
"0,1","0,9827586207","0,9827586207"
"0,125","0,96875","0,96875"
"0,5","0,8636363636","0,8636363636"
"0,1666666667","0,9411764706","0,9696969697"
"0,125","0,976744186","0,976744186"
"0,1666666667","0,972972973","0,972972973"
"0,08333333333","0,9868421053","0,9868421053"
"0,07692307692","0,9841269841","0,9841269841"
"0,4285714286","0,9024390244","0,9024390244"
"0,1666666667","0,975","0,975"
"0,1666666667","0,9696969697","0,9696969697"
"0,1666666667","0,9677419355","0,9677419355"
0,1,1
"0,5","0,9375","0,9375"
"0,4","0,9","0,9"
"0,1428571429","0,9746835443","0,9746835443"
"0,1428571429","0,9736842105","0,9736842105"
"0,25","0,9428571429","0,9428571429"
"0,2857142857","0,9298245614","0,9298245614"
"0,1428571429","0,9772727273","0,9772727273"
"0,1111111111","0,985915493","0,985915493"
"0,25","0,962962963","0,962962963"
"0,5","0,8333333333","0,8333333333"
"0,1666666667","0,9666666667","0,9666666667"
"0,1428571429","0,972972973","0,972972973"
"0,1666666667","0,9743589744","0,9743589744"
"0,2","0,9814814815","0,9814814815"
"0,1","0,9852941176","0,9852941176"
"0,08333333333","0,9868421053","0,9868421053"
0,1,1
"0,1818181818","0,9571428571","0,9852941176"
"0,125","0,9803921569","0,9803921569"
"0,1666666667","0,9722222222","0,9722222222"
"0,07692307692","0,9857142857","0,9857142857"
"0,1666666667","0,9666666667","0,9666666667"
"0,07692307692","0,9866666667","0,9866666667"
"0,1111111111","0,9791666667","0,9791666667"
"0,1666666667","0,9565217391","0,9565217391"
"0,2222222222","0,9636363636","0,9636363636"
"0,1428571429","0,9677419355","0,9677419355"
"0,1666666667","0,9722222222","0,9722222222"
"0,3333333333","0,95","0,95"
0,1,1
"0,3333333333","0,9189189189","0,9189189189"
"0,1","0,9803921569","0,9803921569"
0,1,1
"0,125","0,9787234043","0,9787234043"
"0,1","0,9824561404","0,9824561404"
"0,1818181818","0,9642857143","0,9642857143"
"0,2222222222","0,9655172414","0,9824561404"
"0,1666666667","0,9642857143","0,9642857143"
"0,25","0,9583333333","0,9583333333"
0,1,1
"0,125","0,9756097561","0,9756097561"
"0,3333333333","0,9166666667","0,9166666667"
"0,07692307692","0,9848484848","0,9848484848"
0,1,1
"0,07142857143","0,9875","0,9875"
0,1,1
"0,07692307692","0,9824561404","0,9824561404"
"0,1666666667","0,9655172414","0,9655172414"
"0,2","0,9701492537","0,9701492537"
"0,3333333333","0,95","0,95"
"0,25","0,96","0,96"
0,1,1
"0,125","0,9736842105","0,9736842105"
"0,1538461538","0,9864864865","0,9864864865"
"0,1666666667","0,96875","0,96875"
"0,3333333333","0,9473684211","0,9473684211"
"0,2","0,9655172414","0,9655172414"
0,1,1
"0,1666666667","0,9682539683","0,9838709677"
"0,1428571429","0,9827586207","0,9827586207"
"0,125","0,975","0,975"
"0,5454545455","0,8392857143","0,8867924528"
"0,1666666667","0,7741935484","0,7741935484"
"0,1428571429","0,9791666667","0,9791666667"
"0,3636363636","0,9310344828","0,9310344828"
0,1,1
"0,1111111111","0,9811320755","0,9811320755"
0,1,1
0,1,1
"0,4285714286","0,875","0,875"
"0,3333333333","0,9268292683","0,9268292683"
"0,1666666667","0,972972973","0,972972973"
"0,1","0,9848484848","0,9848484848"
0,1,1
"0,2","0,9672131148","0,9672131148"
"0,1428571429","0,9756097561","0,9756097561"
"0,1818181818","0,96875","0,96875"
"0,1428571429","0,9761904762","0,9761904762"
"0,1538461538","0,9733333333","0,9733333333"
"0,1666666667","0,972972973","0,972972973"
"0,1666666667","0,9705882353","0,9705882353"
"0,1428571429","0,9761904762","0,9761904762"
"0,1","0,9818181818","0,9818181818"
0,1,1
0,1,1
"0,1428571429","0,9736842105","0,9736842105"
"0,09090909091","0,9833333333","0,9833333333"
"0,6666666667","0,8461538462","0,8461538462"
"0,25","0,9565217391","0,9565217391"
0,1,1
0,1,1
"0,2","0,9655172414","0,9655172414"
"0,3333333333","0,9411764706","0,9411764706"
"0,1666666667","0,9642857143","0,9642857143"
"0,1538461538","0,9411764706","0,9411764706"
"0,2","0,95","0,95"
"0,2222222222","0,95","0,95"
"0,1428571429","0,975","0,975"
"0,1428571429","0,9722222222","0,9722222222"
"0,1111111111","0,9791666667","0,9791666667"
"0,2","0,9642857143","0,9642857143"
"0,25","0,95","0,95"
"0,2","0,96875","0,96875"
"0,09090909091","0,9821428571","0,9821428571"
"0,2","0,96","0,96"
"0,1428571429","0,9574468085",1
"0,6666666667","0,7894736842","0,7894736842"
"0,3333333333","0,9047619048","0,9047619048"
"0,3333333333","0,88","0,88"
"0,2","0,94","0,94"
0,1,1
"0,1428571429","0,974025974","0,974025974"
"0,125","0,9756097561","0,9756097561"
"0,1666666667","0,9705882353","0,9705882353"
"0,25","0,9540229885","0,9540229885"
"0,6","0,8358208955","0,8358208955"
"0,3333333333","0,9230769231","0,9230769231"
"0,09090909091","0,9818181818","0,9818181818"
0,1,1
"0,09090909091","0,9473684211","0,9473684211"
0,1,1
"0,25","0,95","0,95"
"0,3333333333","0,9285714286","0,9285714286"
"0,25","0,9411764706","0,9411764706"
"0,1666666667","0,9655172414","0,9655172414"
"0,09090909091","0,9841269841","0,9841269841"
"0,2857142857","0,9428571429","0,9428571429"
"0,3333333333","0,9649122807","0,9649122807"
"0,1666666667","0,9583333333","0,9583333333"
"0,375","0,9230769231","0,9230769231"
"0,1428571429","0,9705882353","0,9705882353"
"0,1111111111","0,9833333333","0,9833333333"
"0,3333333333","0,950617284","0,950617284"
"0,07692307692","0,9850746269","0,9850746269"
"0,3333333333","0,9285714286","0,9285714286"
0,1,1
"0,3333333333","0,9333333333","0,9333333333"
"0,2","0,962962963","0,962962963"
"0,875","0,8679245283","0,8679245283"
"0,3333333333","0,9230769231","0,9230769231"
"0,2857142857","0,9487179487","0,9487179487"
"0,1","0,9787234043","0,9787234043"
"0,1","0,9850746269","0,9850746269"
"0,125","0,9722222222","0,9722222222"
0,1,1
"0,1666666667","0,9807692308","0,9807692308"
"0,1666666667","0,9677419355","0,9677419355"
"0,07692307692","0,9875","0,9875"
"0,25","0,9714285714","0,9714285714"
"0,1","0,9855072464","0,9855072464"
1,"0,6666666667","0,6666666667"
0,1,1
"0,3333333333","0,9433962264","0,9433962264"
0,1,1
"0,125","0,976744186","0,976744186"
"0,1666666667","0,9743589744","0,9743589744"
"0,1428571429","0,975","0,975"
"0,3571428571","0,9382716049","0,9382716049"
"0,1818181818","0,9705882353","0,9705882353"
"0,4444444444","0,86","0,86"
"0,09090909091","0,9818181818","0,9818181818"
"0,3333333333","0,9523809524","0,9523809524"
"0,2857142857","0,9230769231","0,9230769231"
"0,1666666667","0,9666666667","0,9666666667"
"0,25","0,9473684211","0,9473684211"
"0,1538461538","0,9264705882","0,9264705882"
"0,125","0,9772727273","0,9772727273"
"0,1428571429","0,9702970297","0,9702970297"
"0,125","0,9772727273","0,9772727273"
"0,25","0,9655172414","0,9655172414"
0,1,1
"0,3846153846","0,8484848485","0,875"
"0,2","0,962962963","0,962962963"
"0,3333333333","0,9285714286","0,9285714286"
"0,1","0,9824561404","0,9824561404"
"0,125","0,9824561404","0,9824561404"
"0,3333333333","0,9428571429","0,9428571429"
"0,125","0,9791666667","0,9791666667"
"0,5","0,625","0,625"
"0,2","0,95","0,95"
0,1,1
"0,4","0,9433962264","0,9433962264"
"0,3571428571","0,9411764706","0,9411764706"
"0,07692307692","0,9857142857","0,9857142857"
"0,3333333333","0,9333333333","0,9333333333"
"0,1666666667","0,9736842105","0,9736842105"
"0,25","0,96875","0,96875"
"0,1111111111","0,9777777778","0,9777777778"
"0,1666666667","0,9807692308","0,9807692308"
0,1,1
"0,4","0,9259259259","0,9615384615"
"0,1428571429","0,976744186","0,976744186"
"0,2","0,9677419355","0,9677419355"
"0,1428571429","0,9714285714","0,9714285714"
"0,08333333333","0,984375","0,984375"
"0,2222222222","0,9649122807","0,9649122807"
"0,07142857143","0,9868421053","0,9868421053"
"0,1818181818","0,9705882353","0,9705882353"
"0,1666666667","0,9696969697","0,9696969697"
"0,08333333333","0,988372093","0,988372093"
0,1,1
"0,4","0,8181818182","0,8181818182"
"0,1666666667","0,9565217391","0,9565217391"
"0,25","0,9375","0,9375"
1,"0,76","0,76"
"0,25","0,8723404255","0,8723404255"
"0,4","0,8","0,8275862069"
"0,6666666667","0,6315789474","0,6315789474"
"0,07692307692","0,985915493","0,985915493"
"0,07142857143","0,9746835443","0,9746835443"
"0,1428571429","0,972972973","0,972972973"
"0,3076923077","0,8928571429","0,8928571429"
0,1,1
0,1,1
"0,1428571429","0,9795918367","0,9795918367"
"0,1818181818","0,9782608696","0,9782608696"
"0,2","0,9642857143","0,9642857143"
"0,1428571429","0,9722222222","0,9722222222"
"0,2","0,9722222222","0,9722222222"
"0,2727272727","0,9230769231","0,9230769231"
"0,3333333333","0,8679245283","0,9019607843"
"0,25","0,9555555556","0,9555555556"
"0,1111111111","0,9818181818","0,9818181818"
"0,1666666667","0,9677419355","0,9677419355"
"0,1818181818","0,9705882353","0,9705882353"
"0,25","0,9491525424","0,9491525424"
"0,125","0,9677419355","0,9677419355"
"0,1428571429","0,9756097561","0,9756097561"
"0,2222222222","0,9523809524","0,9523809524"
0,1,1
"0,2","0,9696969697","0,9696969697"
"0,09090909091","0,9850746269","0,9850746269"
"0,2","0,8775510204","0,8775510204"
"0,1428571429","0,9772727273","0,9772727273"
"0,125","0,9787234043","0,9787234043"
"0,1666666667","0,9787234043","0,9787234043"
"0,1666666667","0,9666666667","0,9666666667"
0,1,1
"0,25","0,9473684211","0,9473684211"
"0,2222222222","0,9565217391","0,9565217391"
"0,3333333333","0,9259259259","0,9615384615"
"0,2142857143","0,9324324324","0,9324324324"
"0,125","0,9818181818","0,9818181818"
"0,3333333333","0,9411764706","0,9411764706"
0,1,1
"0,2222222222","0,9375","0,9375"
"0,1666666667","0,9577464789","0,9577464789"
"0,1538461538","0,9743589744","0,9743589744"
0,1,1
"0,3333333333","0,9375","0,9375"
"0,1818181818","0,9772727273","0,9772727273"
"0,1111111111","0,9791666667","0,9791666667"
"0,2727272727","0,9589041096","0,9589041096"
"0,08333333333","0,9821428571","0,9821428571"
"0,2857142857","0,9591836735","0,9591836735"
0,1,1
"0,08333333333","0,9333333333","0,9655172414"
"0,2142857143","0,9404761905","0,9518072289"
"0,2307692308","0,9571428571","0,9571428571"
1,"0,75","0,75"
